date,instrument,open,high,close,low,volume,amount,factor
2018-01-05,000576,105.3571,105.6674,105.5433,104.8607,976475.0,16576611.0,6.2048
2018-01-04,000576,104.9228,105.6053,105.4812,104.7366,840106.0,14244764.0,6.2048
2018-01-03,000576,105.4192,105.6674,105.6674,104.6746,1233169.0,20916230.0,6.2048
2018-01-02,000576,105.4192,105.7294,105.6053,104.6125,997506.0,16895450.0,6.2048
2017-12-29,000576,104.6125,106.1017,105.6053,104.3023,1037600.0,17563776.0,6.2048
2017-12-28,000576,105.171,106.4119,105.4812,104.4884,2795759.0,47392476.0,6.2048
2017-12-27,000576,104.7366,106.4119,105.7914,104.4264,1896630.0,32167978.0,6.2048
2017-12-26,000576,104.8607,105.7294,105.4812,104.3023,573981.0,9732057.0,6.2048
2017-12-25,000576,105.9776,105.9776,105.6674,104.4884,756481.0,12791326.0,6.2048
2017-12-22,000576,106.6601,106.6601,105.6674,105.4812,1738035.0,29652570.0,6.2048
2017-12-21,000576,104.9228,106.7222,106.3499,104.3023,1741400.0,29499382.0,6.2048
2017-12-20,000576,104.1782,105.171,105.1089,103.7439,1199333.0,20174146.0,6.2048
2017-12-19,000576,104.9848,106.536,104.9228,94.7469,4224564.0,71206208.0,6.2048
2017-12-18,000576,104.5505,105.233,105.0469,104.3023,874901.0,14775453.0,6.2048
2017-12-15,000576,104.1162,104.7366,104.4884,104.0541,894000.0,15023324.0,6.2048
2017-12-14,000576,104.2403,104.7366,104.6125,103.4957,1238303.0,20782408.0,6.2048
2017-12-13,000576,104.7987,104.9848,104.6125,104.1162,404310.0,6809554.0,6.2048
2017-12-12,000576,105.4192,105.4192,105.1089,104.1162,637399.0,10746878.0,6.2048
2017-12-11,000576,105.171,106.2258,105.4812,104.1782,761700.0,12899152.0,6.2048
2017-12-08,000576,104.9228,105.4812,105.4192,104.0541,699101.0,11829148.0,6.2048
2017-12-07,000576,104.9228,105.5433,104.9228,104.3643,486272.0,8202334.0,6.2048
2017-12-06,000576,104.5505,105.171,105.0469,103.9921,1039286.0,17518204.0,6.2048
