date,instrument,open,high,close,low,volume,amount,factor
2018-01-05,002387,59.4895,61.7311,60.7348,59.276,6689911.0,114558872.0,3.558
2018-01-04,002387,60.0588,60.13,59.4895,59.3116,2792170.0,46824952.0,3.558
2018-01-03,002387,59.2049,60.3079,60.0944,59.0626,4602785.0,77365400.0,3.558
2018-01-02,002387,58.8491,59.703,59.2405,58.8491,2372649.0,39538320.0,3.558
2017-12-29,002387,59.0626,59.9521,59.5251,58.9202,1680100.0,28077896.0,3.558
2017-12-28,002387,59.6674,59.7742,59.027,58.9202,2182803.0,36304772.0,3.558
2017-12-27,002387,59.9876,60.2367,59.5251,59.0626,2443801.0,40865308.0,3.558
2017-12-26,002387,59.9521,60.1655,59.9876,58.9202,2747005.0,46151672.0,3.558
2017-12-25,002387,59.5251,60.0944,59.4539,57.924,3060201.0,50766012.0,3.558
2017-12-22,002387,60.806,60.806,59.5251,59.027,6707335.0,112624088.0,3.558
2017-12-21,002387,62.4427,62.4427,60.8416,59.9876,6681204.0,114576760.0,3.558
2017-12-20,002387,63.3677,63.3677,62.2648,62.1224,3671795.0,64462296.0,3.558
2017-12-19,002387,63.3322,63.6524,63.3322,63.0475,2109406.0,37491408.0,3.558
2017-12-18,002387,63.8658,63.9014,63.2966,62.6561,2199259.0,38986440.0,3.558
2017-12-15,002387,64.7553,65.2535,63.5812,63.261,3329880.0,59818800.0,3.558
2017-12-14,002387,63.2254,65.289,64.7198,63.0831,5034967.0,90965072.0,3.558
2017-12-13,002387,62.3359,63.6168,63.2254,62.3359,3276822.0,58192848.0,3.558
2017-12-12,002387,62.2648,64.1149,62.7985,62.0869,5298578.0,93964616.0,3.558
2017-12-11,002387,62.4427,62.7629,62.5138,62.0157,2618444.0,45974972.0,3.558
2017-12-08,002387,62.3359,62.7985,62.3003,61.8378,3991760.0,69916152.0,3.558
2017-12-07,002387,62.3003,63.2966,62.4782,62.1224,2829075.0,49733460.0,3.558
2017-12-06,002387,61.6599,63.261,62.9408,61.6599,5780753.0,101326368.0,3.558
2017-12-05,002387,64.1149,64.3995,61.5532,61.4464,6219686.0,109096472.0,3.558
2017-12-04,002387,65.716,65.7516,64.5063,63.9014,5178110.0,93960736.0,3.558
2017-12-01,002387,63.7235,66.2853,65.6093,63.7235,6666540.0,122706736.0,3.558
2017-11-30,002387,62.2648,65.9295,63.9014,62.2648,9328851.0,168088624.0,3.558
2017-11-29,002387,62.1224,62.5138,61.909,61.5887,5028560.0,87708120.0,3.558
