date,instrument,open,high,close,low,volume,amount,factor
2018-01-05,600191,21.6079,23.5653,21.7096,21.4299,41943380.0,368417760.0,2.5421
2018-01-04,600191,19.32,21.4299,21.4299,19.2691,17067252.0,138204208.0,2.5421
2018-01-03,600191,18.837,19.8792,19.4725,18.7099,17631836.0,134916656.0,2.5421
2018-01-02,600191,18.6082,18.8116,18.7607,18.5319,5269501.0,38744328.0,2.5421
2017-12-29,600191,18.5828,18.6336,18.6082,18.4557,4008200.0,29225544.0,2.5421
2017-12-28,600191,18.5065,18.7099,18.4811,18.354,5417168.0,39542296.0,2.5421
2017-12-27,600191,18.7353,18.8878,18.4557,18.3794,6482001.0,47483296.0,2.5421
2017-12-26,600191,18.354,18.7861,18.7099,18.2269,5526507.0,40221456.0,2.5421
2017-12-25,600191,18.837,18.837,18.4302,18.2269,5529904.0,40164248.0,2.5421
2017-12-22,600191,19.0149,19.2946,18.7607,18.6336,4069473.0,30337360.0,2.5421
2017-12-21,600191,19.1674,19.1674,18.9895,18.5065,4545730.0,33760144.0,2.5421
2017-12-20,600191,19.7013,19.7013,19.0912,19.0149,7536667.0,57109808.0,2.5421
2017-12-19,600191,19.4979,19.8284,19.6504,19.3962,6273560.0,48430848.0,2.5421
2017-12-18,600191,19.5742,19.8792,19.4979,19.3708,7134770.0,54895756.0,2.5421
2017-12-15,600191,19.32,20.108,19.9047,19.1166,11867362.0,91830176.0,2.5421
2017-12-14,600191,19.6504,19.803,19.4471,19.32,8818660.0,67913048.0,2.5421
2017-12-13,600191,19.142,19.32,19.2691,18.8878,5845489.0,43972896.0,2.5421
2017-12-12,600191,19.5742,19.5742,19.0658,18.9132,7112180.0,53770936.0,2.5421
2017-12-11,600191,19.4979,19.6504,19.5742,19.32,7457161.0,57267512.0,2.5421
2017-12-08,600191,18.9641,19.9555,19.5233,18.7099,16455225.0,125427096.0,2.5421
2017-12-07,600191,18.6082,19.0658,18.8624,18.5573,11300501.0,83774592.0,2.5421
2017-12-06,600191,18.9132,18.9387,18.659,18.0235,15252693.0,110805856.0,2.5421
2017-12-05,600191,19.7267,20.108,18.837,18.5573,13720735.0,104131096.0,2.5421
2017-12-04,600191,20.8452,20.8452,19.803,19.5996,13926547.0,110909816.0,2.5421
2017-12-01,600191,20.591,20.9723,20.8452,20.4893,8288361.0,67855368.0,2.5421
2017-11-30,600191,20.8452,20.9215,20.6673,20.5656,7759506.0,63319848.0,2.5421
2017-11-29,600191,21.3028,21.3028,20.9469,20.6419,10079065.0,83030800.0,2.5421
2017-11-28,600191,20.9723,21.3028,21.2266,20.9215,9371161.0,77845640.0,2.5421
2017-11-27,600191,21.2011,21.4808,21.1249,20.6164,12083581.0,100069040.0,2.5421
2017-11-24,600191,21.71,21.94,21.08,21.03,17083342.0,144339138.0,2.52735739232
2017-11-23,600191,22.21,22.82,21.79,21.73,21493565.0,189752495.0,2.52673492605
2017-11-22,600191,22.8,24.24,22.85,22.8,41440605.0,378405018.0,2.52771618625
2017-11-21,600191,25.32,25.32,25.32,25.32,3381600.0,33883632.0,2.52694610778
2017-11-20,600191,29.19,29.64,28.13,27.04,15196371.0,167065636.0,2.52727272727
2017-11-17,600191,32.3,33.03,30.05,29.72,15612869.0,195533910.0,2.52738654147
2017-11-16,600191,31.34,32.73,32.6,30.86,13726269.0,174290809.0,2.52741935484
2017-11-15,600191,31.59,33.06,31.89,31.39,19386694.0,248664422.0,2.5272
2017-11-14,600191,30.93,32.22,32.12,30.43,16536831.0,205583867.0,2.52696078431
2017-11-13,600191,31.09,31.72,31.19,30.88,9625765.0,118836097.0,2.52764227642
2017-11-10,600191,30.33,32.22,31.46,29.85,16940960.0,207993823.0,2.5275
2017-11-09,600191,31.09,31.46,30.68,30.07,12102082.0,147145004.0,2.52764227642
2017-11-08,600191,29.27,30.58,30.53,28.89,11926960.0,140949232.0,2.52763385147
2017-11-07,600191,28.73,29.54,29.34,28.46,7940306.0,91717145.0,2.52682497801
2017-11-06,600191,28.84,29.04,28.73,28.28,6614130.0,74736102.0,2.52760736196
2017-11-03,600191,29.09,29.49,29.16,28.63,5722903.0,65695026.0,2.52736750652
2017-11-02,600191,29.92,30.0,28.96,28.71,9230680.0,106839371.0,2.52702702703
2017-11-01,600191,29.95,30.63,30.18,29.59,7706207.0,92064300.0,2.52742616034
2017-10-31,600191,29.42,30.25,29.9,29.27,5440240.0,64065019.0,2.52749140893
2017-10-30,600191,30.43,31.06,29.8,29.14,10798600.0,128233426.0,2.52740863787
2017-10-27,600191,31.26,31.95,30.78,30.58,9689650.0,119382428.0,2.52708164915
2017-10-26,600191,30.83,32.32,31.41,30.83,10411019.0,130412868.0,2.52704918033
2017-10-25,600191,31.31,31.77,31.09,30.43,7592719.0,93308633.0,2.52703793382
2017-10-24,600191,30.98,32.07,31.52,30.88,11273206.0,141010036.0,2.52691680261
2017-10-23,600191,30.78,31.72,30.96,30.76,7001789.0,86534106.0,2.52709359606
2017-10-20,600191,30.3,31.19,30.66,30.3,7071370.0,86053290.0,2.5271059216
2017-10-19,600191,32.35,33.03,30.3,29.82,14732740.0,180561227.0,2.52734375
2017-10-18,600191,33.36,33.49,32.32,32.2,11707306.0,151930503.0,2.52727272727
2017-10-17,600191,31.92,33.51,33.34,31.92,15206246.0,199180860.0,2.52731591449
2017-10-16,600191,32.75,33.06,32.15,31.64,11243349.0,143886448.0,2.52700617284
2017-10-13,600191,32.17,33.77,32.88,32.17,16647885.0,218368650.0,2.52710133543
2017-10-12,600191,31.59,33.38,32.5,31.44,20876863.0,269587538.0,2.5272
2017-10-11,600191,31.97,32.48,31.52,31.36,15794528.0,198927030.0,2.52727272727
2017-10-10,600191,32.0,33.34,32.6,31.34,31087466.0,397467629.0,2.52764612954
2017-10-09,600191,29.06,31.41,31.41,28.81,19284926.0,232604848.0,2.52695652174
2017-09-29,600191,29.82,30.15,28.56,28.2,17264406.0,198393820.0,2.52711864407
2017-09-28,600191,30.45,30.83,29.72,29.59,7084694.0,84998515.0,2.52697095436
2017-09-27,600191,30.58,30.73,30.45,30.3,5744995.0,69256618.0,2.52727272727
2017-09-26,600191,30.15,30.73,30.55,29.97,7699301.0,92658770.0,2.52724224644
2017-09-25,600191,32.0,32.27,30.25,30.2,10151852.0,125669901.0,2.52764612954
2017-09-22,600191,32.4,32.78,32.25,31.62,9591772.0,122125781.0,2.52730109204
2017-09-21,600191,32.85,33.56,32.65,32.55,10137381.0,132610572.0,2.52692307692
2017-09-20,600191,32.85,33.28,33.03,31.84,13988476.0,180509684.0,2.52692307692
2017-09-19,600191,34.04,34.47,33.03,32.93,13448615.0,178147500.0,2.52709725316
2017-09-18,600191,35.26,35.26,33.99,33.84,15641786.0,212844724.0,2.52759856631
2017-09-15,600191,35.38,36.37,35.56,35.0,12527961.0,177192256.0,2.52714285714
2017-09-14,600191,37.1,37.23,35.56,35.41,16376291.0,233864567.0,2.5272479564
2017-09-13,600191,36.92,37.81,36.85,36.65,18062672.0,265668323.0,2.52703627652
2017-09-12,600191,35.89,37.33,37.25,34.88,29120874.0,418479122.0,2.52746478873
2017-09-11,600191,36.14,36.27,35.81,35.53,12981756.0,183600831.0,2.52727272727
2017-09-08,600191,36.44,36.9,36.29,35.86,16338218.0,235528799.0,2.52704576976
2017-09-07,600191,36.62,37.35,37.02,35.43,27694715.0,396421033.0,2.52726017943
2017-09-06,600191,37.18,37.61,36.7,36.34,22762387.0,330927665.0,2.52753229096
2017-09-05,600191,37.61,38.59,37.63,37.05,28281754.0,421234513.0,2.52755376344
2017-09-04,600191,34.78,38.77,38.24,34.78,46076537.0,668070085.0,2.52761627907
2017-09-01,600191,33.18,35.84,35.33,33.13,41998530.0,575175041.0,2.52703731912
2017-08-31,600191,33.11,33.28,33.21,32.65,15631154.0,203337014.0,2.52748091603
2017-08-30,600191,33.34,34.09,33.44,33.23,19520040.0,259675282.0,2.52767247915
2017-08-29,600191,33.11,33.51,33.06,32.78,12368621.0,161802381.0,2.52748091603
2017-08-28,600191,32.78,33.66,33.16,32.7,19857510.0,261191203.0,2.52737085582
2017-08-25,600191,31.44,32.98,32.7,31.44,18627775.0,238499387.0,2.52733118971
2017-08-24,600191,32.17,32.73,31.62,31.52,13342286.0,169676813.0,2.52710133543
2017-08-23,600191,32.25,32.83,32.22,31.87,12152150.0,155260373.0,2.52742946708
2017-08-22,600191,33.61,34.09,32.7,32.55,18648360.0,245118561.0,2.52706766917
2017-08-21,600191,33.36,33.79,33.77,32.63,16517435.0,216929669.0,2.52727272727
2017-08-18,600191,33.06,34.32,33.66,32.83,23649225.0,315845968.0,2.52752293578
2017-08-17,600191,33.54,33.74,33.49,32.45,21944767.0,287772806.0,2.52750565185
2017-08-16,600191,32.98,33.51,33.44,31.69,22745299.0,293474303.0,2.52720306513
2017-08-15,600191,32.98,34.24,33.39,32.85,31330060.0,416766737.0,2.52720306513
2017-08-14,600191,32.12,33.11,32.63,31.92,17968531.0,231088120.0,2.52714398112
2017-08-11,600191,34.98,35.18,32.15,32.02,32699888.0,431957002.0,2.5274566474
2017-08-10,600191,35.36,36.09,35.58,34.85,22277679.0,313397392.0,2.5275196569
2017-08-09,600191,35.38,36.27,35.51,34.9,23309942.0,326974961.0,2.52714285714
2017-08-08,600191,35.46,36.12,36.01,34.88,27548830.0,387970631.0,2.52744119743
2017-08-07,600191,36.34,36.34,35.56,34.45,28395216.0,394616052.0,2.52712100139
2017-08-04,600191,38.59,38.84,36.57,36.42,28298307.0,419965886.0,2.52717747217
2017-08-03,600191,39.15,39.25,38.21,37.68,29328462.0,446766072.0,2.52743705617
2017-08-02,600191,38.47,39.6,39.55,37.43,40506440.0,618994214.0,2.52759526938
2017-08-01,600191,39.5,41.27,38.62,38.19,47853983.0,751485863.0,2.52719129878
2017-07-31,600191,39.43,41.85,40.46,38.11,51061858.0,811030392.0,2.52756410256
2017-07-28,600191,39.63,40.41,39.73,39.2,33843022.0,533427512.0,2.52742346939
2017-07-27,600191,43.34,43.7,39.78,39.78,64755934.0,1051000677.0,2.52711370262
2017-07-26,600191,44.58,46.33,44.2,43.34,59516620.0,1052256417.0,2.52721088435
2017-07-25,600191,40.72,46.02,45.67,40.34,67026438.0,1120562985.0,2.52762259466
2017-07-24,600191,40.94,43.92,41.83,40.51,76275407.0,1275970095.0,2.52716049383
2017-07-21,600191,35.76,39.93,39.93,35.43,56847789.0,847685463.0,2.52720848057
2017-07-20,600191,33.92,37.38,36.29,33.23,51972840.0,724453758.0,2.52757078987
2017-07-19,600191,34.73,35.0,34.47,33.26,43013368.0,582325218.0,2.52765647744
2017-07-18,600191,32.5,34.7,34.62,31.89,57663081.0,768560152.0,2.52721617418
2017-07-17,600191,30.4,33.34,33.34,30.02,71387766.0,913121738.0,2.52701579385
2017-07-14,600191,29.32,30.78,30.3,28.61,31943804.0,373199827.0,2.5275862069
2017-07-13,600191,28.48,29.9,29.14,28.33,30415576.0,350434970.0,2.52706299911
