date,instrument,open,high,close,low,volume,amount,factor
2018-01-05,002286,35.1427,35.1427,35.0379,34.7584,871001.0,8711383.0,3.4933
2018-01-04,002286,35.9461,36.1208,35.1427,34.9331,1553900.0,15658440.0,3.4933
2018-01-03,002286,34.7933,35.1776,34.968,34.5488,1496365.0,14917958.0,3.4933
2018-01-02,002286,33.955,35.2475,35.1077,33.8502,2029219.0,20093932.0,3.4933
2017-12-29,002286,33.5707,34.4091,34.0248,33.431,1102300.0,10730456.0,3.4933
2017-12-28,002286,33.955,34.2344,33.6755,33.6406,896800.0,8710746.0,3.4933
2017-12-27,002286,33.5707,34.5837,33.955,33.431,1378541.0,13504528.0,3.4933
2017-12-26,002286,33.4659,33.7454,33.7104,33.396,697794.0,6703663.0,3.4933
2017-12-25,002286,33.3611,33.8851,33.7454,32.4878,2022050.0,19187902.0,3.4933
2017-12-22,002286,33.6755,34.0947,33.6755,33.1515,1506950.0,14488923.0,3.4933
2017-12-21,002286,34.0947,34.2694,33.7104,33.7104,968700.0,9416209.0,3.4933
2017-12-20,002286,34.2344,34.3742,34.3392,33.5358,1290513.0,12553001.0,3.4933
2017-12-19,002286,34.1296,34.7235,34.3392,34.1296,903334.0,8883606.0,3.4933
2017-12-18,002286,34.6885,34.8981,34.3392,34.2344,858328.0,8450581.0,3.4933
2017-12-15,002286,34.3392,34.8632,34.6536,34.1995,798500.0,7897288.0,3.4933
2017-12-14,002286,35.1427,35.1427,34.6187,34.0947,1272200.0,12591001.0,3.4933
2017-12-13,002286,34.7933,35.5619,35.1427,34.4091,1257520.0,12686121.0,3.4933
2017-12-12,002286,34.8981,35.0728,34.7933,34.5488,712700.0,7088896.0,3.4933
2017-12-11,002286,35.1077,35.4571,35.0029,34.7933,1302920.0,13062174.0,3.4933
2017-12-08,002286,34.1646,36.6797,35.3872,33.9899,2079520.0,20955344.0,3.4933
2017-12-07,002286,34.1296,34.3742,34.2344,34.0248,799600.0,7826374.0,3.4933
2017-12-06,002286,34.3043,34.8283,34.2344,33.5358,2105890.0,20557424.0,3.4933
2017-12-05,002286,35.2125,35.6667,34.7933,33.8152,2170871.0,21651104.0,3.4933
2017-12-04,002286,35.2824,35.7715,35.4571,35.1077,1270700.0,12881536.0,3.4933
2017-12-01,002286,35.7016,35.7016,35.2824,35.1776,1653000.0,16737485.0,3.4933
2017-11-30,002286,36.1557,36.1907,35.7016,35.5619,1129010.0,11589612.0,3.4933
2017-11-29,002286,35.9461,36.2256,36.1557,35.8763,652585.0,6729110.5,3.4933
2017-11-28,002286,35.7016,36.4701,36.0859,35.7016,764500.0,7882207.0,3.4933
2017-11-27,002286,36.4701,36.54,36.016,35.8413,789838.0,8166159.0,3.4933
2017-11-24,002286,37.24,37.27,36.09,36.02,2325200.0,24217779.0,3.49671361502
2017-11-23,002286,37.77,37.98,37.38,37.38,1065800.0,11462457.0,3.49722222222
2017-11-22,002286,38.01,38.46,38.01,37.59,2050228.0,22179163.0,3.49678012879
2017-11-21,002286,37.98,39.06,38.46,34.97,2361300.0,25399383.0,3.49723756906
2017-11-20,002286,38.39,38.99,38.32,37.34,1055977.0,11470014.0,3.49635701275
2017-11-17,002286,39.37,39.72,38.29,38.29,2186700.0,24520625.0,3.49644760213
2017-11-16,002286,38.74,40.21,39.79,38.64,2736601.0,30790055.0,3.4963898917
2017-11-15,002286,38.71,39.27,38.74,38.71,1894643.0,21094468.0,3.49683830172
2017-11-14,002286,39.27,39.34,38.74,38.57,1703915.0,18897577.0,3.49688334817
2017-11-13,002286,40.04,40.18,39.16,38.67,3007196.0,33759819.0,3.49694323144
2017-11-10,002286,40.25,40.49,39.93,39.69,1217400.0,13972587.0,3.49695916594
2017-11-09,002286,40.56,40.74,40.39,40.18,882000.0,10188648.0,3.49655172414
2017-11-08,002286,39.93,40.74,40.53,39.79,1473908.0,16960019.0,3.49649737303
2017-11-07,002286,39.79,40.42,40.18,39.79,1216000.0,13971186.0,3.49648506151
2017-11-06,002286,40.91,40.91,40.18,39.2,2308130.0,26287420.0,3.49658119658
2017-11-03,002286,40.98,41.37,40.56,40.49,1267700.0,14781865.0,3.49658703072
2017-11-02,002286,42.1,42.14,41.05,40.84,1548600.0,18310083.0,3.49667774086
2017-11-01,002286,41.37,42.21,41.79,41.33,1370714.0,16444189.0,3.49704142012
2017-10-31,002286,41.33,42.48,41.44,41.3,1686456.0,20121452.0,3.49661590525
2017-10-30,002286,42.41,42.94,41.86,41.47,2892512.0,34801599.0,3.49629018961
2017-10-27,002286,43.22,43.53,42.41,42.34,2823322.0,34475465.0,3.49676375405
2017-10-26,002286,43.19,43.67,43.43,43.12,2154215.0,26737624.0,3.4971659919
2017-10-25,002286,42.77,43.6,43.43,42.38,1833101.0,22691939.0,3.49713818479
2017-10-24,002286,42.87,43.5,42.48,42.27,1554200.0,19041227.0,3.49673735726
2017-10-23,002286,43.53,43.99,43.08,42.7,1827901.0,22511568.0,3.49638554217
2017-10-20,002286,41.89,43.71,43.53,41.82,2404048.0,29632583.0,3.49666110184
2017-10-19,002286,42.31,42.87,42.14,41.96,1356265.0,16400746.0,3.49669421488
2017-10-18,002286,42.8,43.15,42.38,42.07,1475340.0,18038208.0,3.49673202614
2017-10-17,002286,42.31,42.77,42.77,42.0,988400.0,12031564.0,3.49669421488
2017-10-16,002286,42.84,43.5,42.34,42.31,2109354.0,25801464.0,3.49714285714
2017-10-13,002286,43.71,43.92,42.84,42.59,2791623.0,34409128.0,3.4968
2017-10-12,002286,43.85,43.99,43.71,43.53,2720438.0,34037138.0,3.49681020734
2017-10-11,002286,42.66,44.02,43.85,42.59,4422811.0,55275243.0,3.49672131148
2017-10-10,002286,43.01,43.01,42.66,42.24,1854385.0,22554487.0,3.49674796748
2017-10-09,002286,41.96,43.19,43.01,41.93,4565975.0,55917318.0,3.49666666667
2017-09-29,002286,40.7,41.93,41.75,40.49,2241936.0,26485434.0,3.49656357388
2017-09-28,002286,40.63,41.12,40.7,40.49,1441062.0,16821220.0,3.49655765921
2017-09-27,002286,40.88,40.98,40.84,40.35,1831782.0,21264905.0,3.49700598802
2017-09-26,002286,40.67,41.09,40.81,40.39,1698612.0,19742393.0,3.4969905417
2017-09-25,002286,40.98,41.47,40.67,40.56,2296225.0,26888073.0,3.49658703072
2017-09-22,002286,41.3,41.58,41.12,40.84,2040713.0,24010360.0,3.49703640982
2017-09-21,002286,42.24,42.31,41.47,41.19,2416277.0,28865807.0,3.49668874172
2017-09-20,002286,42.14,42.48,42.24,42.0,1878437.0,22676267.0,3.49709543568
2017-09-19,002286,42.91,43.22,42.07,41.54,3802804.0,45938253.0,3.49714751426
2017-09-18,002286,43.19,44.27,42.91,42.48,4022343.0,49588579.0,3.4971659919
2017-09-15,002286,42.24,43.22,43.22,41.96,4709741.0,57757676.0,3.49668874172
2017-09-14,002286,41.33,43.4,42.24,41.26,5441973.0,65975760.0,3.49661590525
2017-09-13,002286,41.09,41.44,41.12,40.77,2476774.0,29173239.0,3.4970212766
2017-09-12,002286,39.9,41.44,40.91,39.86,4601771.0,53813411.0,3.49693251534
2017-09-11,002286,40.0,40.49,40.04,39.79,2549014.0,29239636.0,3.4965034965
2017-09-08,002286,39.16,40.14,40.11,39.16,2771533.0,31484183.0,3.49642857143
2017-09-07,002286,39.79,39.97,39.37,39.34,1846475.0,20928763.0,3.49648506151
2017-09-06,002286,38.95,40.14,39.76,38.92,2900076.0,32772817.0,3.49640933573
2017-09-05,002286,39.16,39.34,39.09,38.92,1709800.0,19125689.0,3.49642857143
2017-09-04,002286,38.81,39.51,39.16,38.57,2559637.0,28535730.0,3.4963963964
2017-09-01,002286,38.88,38.99,38.95,38.6,1974100.0,21947732.0,3.4964028777
2017-08-31,002286,38.81,39.02,38.88,38.67,1358649.0,15070205.0,3.4963963964
2017-08-30,002286,39.09,39.16,38.88,38.81,1469700.0,16398662.0,3.49642218247
2017-08-29,002286,38.99,39.16,39.09,38.5,2182040.0,24285995.0,3.49686098655
2017-08-28,002286,38.78,39.06,38.88,38.53,2581233.0,28685540.0,3.49684400361
2017-08-25,002286,38.29,38.74,38.67,37.87,2267740.0,24919274.0,3.49680365297
2017-08-24,002286,38.08,38.71,38.05,37.94,1411645.0,15464110.0,3.49678604224
2017-08-23,002286,38.08,38.39,38.11,37.91,924720.0,10081646.0,3.49678604224
2017-08-22,002286,38.99,38.99,38.08,38.08,1341200.0,14741353.0,3.49686098655
2017-08-21,002286,38.04,38.74,38.57,37.84,2035800.0,22429779.0,3.49632352941
2017-08-18,002286,38.11,38.53,38.05,37.87,1125672.0,12279199.0,3.49633027523
2017-08-17,002286,38.29,38.53,38.36,37.98,1528581.0,16711896.0,3.49680365297
2017-08-16,002286,37.7,38.57,38.29,37.48,1979909.0,21543986.0,3.49721706865
2017-08-15,002286,37.38,37.77,37.7,37.27,1741933.0,18667124.0,3.49672591207
2017-08-14,002286,37.13,37.66,37.38,37.06,2086029.0,22300941.0,3.49623352166
2017-08-11,002286,37.55,38.32,37.2,37.17,2832290.0,30306591.0,3.49627560521
